Raw Input, Filtered Output
0.206076, 0.191877
0.241304, 0.220391
0.187035, 0.218551
0.185395, 0.209387
0.376352, 0.278000
0.268309, 0.288077
0.191848, 0.260393
0.339353, 0.293862
0.329654, 0.317685
0.373059, 0.348591
0.381646, 0.374035
0.288240, 0.354335
0.482388, 0.409545
0.269717, 0.367069
0.293525, 0.342709
0.556110, 0.427096
0.344935, 0.414603
0.453537, 0.438956
0.391565, 0.431961
0.586769, 0.505184
0.440724, 0.493234
0.475283, 0.501517
0.646167, 0.567452
0.500423, 0.562487
0.655987, 0.611320
0.623523, 0.634671
0.450837, 0.580940
0.531231, 0.563068
0.701407, 0.625251
0.669543, 0.660746
0.746290, 0.715325
0.601489, 0.695093
0.588802, 0.667250
0.595233, 0.643138
0.732756, 0.686896
0.595004, 0.665829
0.777387, 0.724971
0.822464, 0.784240
0.816259, 0.824858
0.673013, 0.786064
0.745599, 0.784511
0.732122, 0.773880
0.779651, 0.788731
0.730611, 0.780775
0.788737, 0.801101
0.844401, 0.835075
0.742330, 0.820044
0.873726, 0.856474
0.722500, 0.823461
0.843033, 0.845162
0.854281, 0.863612
0.841734, 0.877521
0.981628, 0.936456
0.848647, 0.929874
0.975328, 0.967938
0.955850, 0.984918
1.075562, 1.045992
1.014813, 1.059729
1.061086, 1.088342
1.036435, 1.091211
0.929393, 1.050164
1.038095, 1.058192
0.854442, 0.995781
1.020630, 1.016964
1.121804, 1.076078
1.061841, 1.102753
1.076574, 1.118328
1.046561, 1.117177
1.018241, 1.098854
1.013474, 1.080923
1.127064, 1.117001
1.158324, 1.158296
1.127223, 1.176059
0.975639, 1.123468
0.945312, 1.068447
0.959949, 1.033340
1.151802, 1.091693
1.007342, 1.083780
1.141481, 1.132416
1.170384, 1.175244
1.134907, 1.191698
0.968921, 1.126632
0.974083, 1.081403
1.067488, 1.085014
1.057694, 1.091778
1.178898, 1.148219
1.242376, 1.217612
1.042037, 1.184451
1.092430, 1.168833
1.192317, 1.196246
1.257664, 1.245569
1.191553, 1.253729
1.090886, 1.219206
1.263531, 1.256371
1.054769, 1.201183
1.046648, 1.156463
1.150915, 1.166212
1.248687, 1.222733
1.202573, 1.243222
1.270758, 1.286236
1.056223, 1.226646
1.116383, 1.200263
1.208737, 1.216859
1.256239, 1.257554
1.158180, 1.246341
1.213802, 1.260916
1.269769, 1.289745
1.057624, 1.225371
1.263082, 1.255763
1.147720, 1.237205
1.259249, 1.269883
1.124239, 1.236204
1.138140, 1.222304
1.250322, 1.249730
1.204451, 1.259891
1.204535, 1.263240
1.134142, 1.237847
1.148217, 1.223398
1.244675, 1.249839
1.221636, 1.265341
1.032806, 1.200077
1.192070, 1.212875
1.100627, 1.188830
1.109086, 1.176599
1.139200, 1.179379
1.137453, 1.188225
1.136500, 1.189616
0.969842, 1.125752
1.065079, 1.114990
1.017476, 1.091005
0.918718, 1.039555
1.099389, 1.073866
1.112165, 1.113428
1.106234, 1.138767
1.035131, 1.124231
0.950825, 1.078302
1.001744, 1.059203
0.988086, 1.044747
0.993365, 1.040960
0.951722, 1.024031
0.824933, 0.963058
0.944219, 0.964253
0.770295, 0.901211
0.960384, 0.934165
0.895077, 0.935873
0.978752, 0.976341
0.872641, 0.956251
0.740901, 0.891430
0.842856, 0.876570
0.837652, 0.872300
0.687562, 0.812614
0.905617, 0.857376
0.764845, 0.841043
0.828720, 0.852704
0.760879, 0.830876
0.656101, 0.778214
0.724343, 0.759858
0.661894, 0.730805
0.697035, 0.725905
0.567320, 0.673657
0.764301, 0.717730
0.707942, 0.728729
0.766382, 0.763380
0.683845, 0.749837
0.629481, 0.719232
0.624962, 0.687634
0.766479, 0.726680
0.471608, 0.640720
0.462217, 0.573635
0.618009, 0.588087
0.590698, 0.599610
0.463929, 0.556185
0.448620, 0.521678
0.557198, 0.540221
0.630529, 0.585023
0.560120, 0.592704
0.462772, 0.557401
0.440585, 0.518002
0.549215, 0.531954
0.564789, 0.553080
0.548545, 0.565895
0.518415, 0.561838
0.463549, 0.534593
0.318213, 0.453127
0.363809, 0.412966
0.253121, 0.346310
0.315194, 0.329774
0.441381, 0.374026
0.280752, 0.351256
0.390629, 0.372929
0.399917, 0.393204
0.149238, 0.307940
0.215871, 0.264204
0.296858, 0.272875
0.277041, 0.277967
0.302845, 0.292671
0.092983, 0.223934
0.228484, 0.222404
0.273344, 0.240616
0.068143, 0.179398
0.073607, 0.132052
0.105444, 0.116647
0.087874, 0.101986
0.092541, 0.095235
-0.052427, 0.038591
0.018054, 0.024061
-0.032871, -0.004570
0.039729, 0.009025
0.103027, 0.045739
-0.124175, -0.013201
-0.020825, -0.022648
0.041487, -0.002199
-0.200512, -0.079190
-0.136623, -0.114797
-0.204172, -0.159651
-0.085035, -0.140567
-0.116233, -0.136526
-0.106051, -0.121546
-0.145015, -0.131780
-0.321080, -0.209022
-0.185213, -0.215829
-0.199039, -0.219200
-0.309896, -0.260072
-0.391475, -0.323942
-0.308362, -0.331931
-0.423057, -0.380968
-0.162832, -0.308365
-0.273564, -0.293296
-0.236725, -0.267049
-0.215596, -0.249405
-0.215478, -0.233713
-0.457123, -0.327962
-0.388104, -0.368870
-0.389511, -0.395988
-0.310454, -0.375142
-0.370381, -0.380857
-0.285301, -0.345682
-0.541185, -0.426661
-0.512554, -0.476998
-0.348246, -0.448351
-0.515435, -0.481542
-0.367595, -0.449632
-0.425157, -0.443880
-0.518570, -0.477450
-0.591117, -0.539580
-0.400555, -0.502167
-0.659215, -0.575191
-0.447403, -0.541877
-0.531168, -0.548143
-0.513369, -0.540128
-0.462269, -0.522853
-0.694891, -0.594798
-0.675722, -0.649105
-0.720364, -0.701736
-0.719538, -0.731671
-0.602318, -0.703178
-0.746813, -0.729151
-0.771016, -0.760886
-0.749884, -0.776830
-0.543003, -0.701167
-0.831648, -0.759979
-0.796081, -0.790067
-0.816644, -0.823606
-0.722188, -0.803399
-0.674068, -0.770803
-0.601741, -0.708823
-0.853509, -0.769790
-0.706739, -0.762613
-0.876861, -0.827345
-0.786703, -0.834525
-0.762474, -0.829722
-0.786779, -0.823818
-0.835927, -0.845413
-0.856556, -0.866339
-0.661727, -0.805645
-0.771032, -0.801174
-0.888872, -0.846656
-0.940641, -0.906125
-0.826240, -0.900652
-0.716123, -0.849888
-0.738543, -0.814010
-0.861668, -0.839111
-0.672979, -0.788325
-0.965217, -0.869975
-0.822158, -0.876118
-0.922003, -0.918874
-0.786572, -0.885832
-0.777752, -0.861950
-0.891739, -0.880644
-0.725312, -0.837954
-0.799948, -0.833024
-0.893117, -0.870355
-0.981867, -0.937790
-0.768016, -0.896650
-0.757891, -0.859244
-0.789893, -0.839770
-0.795300, -0.832561
